"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","11 years","State","Number","60834"
"Population","2011","Both sexes","11 years","Cork City and Cork County","Number","6678"
"Population","2011","Both sexes","11 years","Clare","Number","1791"
"Population","2011","Both sexes","11 years","Cavan","Number","1108"
"Population","2011","Both sexes","11 years","Carlow","Number","775"
"Population","2011","Both sexes","11 years","Dublin City","Number","4929"
"Population","2011","Both sexes","11 years","Donegal","Number","2451"
"Population","2011","Both sexes","11 years","Dún Laoghaire-Rathdown","Number","2405"
"Population","2011","Both sexes","11 years","Fingal","Number","3620"
"Population","2011","Both sexes","11 years","Galway City","Number","699"
"Population","2011","Both sexes","11 years","Galway County","Number","2480"
"Population","2011","Both sexes","11 years","Kildare","Number","3060"
"Population","2011","Both sexes","11 years","Kilkenny","Number","1320"
"Population","2011","Both sexes","11 years","Kerry","Number","1956"
"Population","2011","Both sexes","11 years","Longford","Number","556"
"Population","2011","Both sexes","11 years","Louth","Number","1796"
"Population","2011","Both sexes","11 years","Limerick City and County","Number","2447"
"Population","2011","Both sexes","11 years","Leitrim","Number","451"
"Population","2011","Both sexes","11 years","Laois","Number","1158"
"Population","2011","Both sexes","11 years","Meath","Number","2700"
"Population","2011","Both sexes","11 years","Monaghan","Number","840"
"Population","2011","Both sexes","11 years","Mayo","Number","1838"
"Population","2011","Both sexes","11 years","Offaly","Number","1171"
"Population","2011","Both sexes","11 years","Roscommon","Number","870"
"Population","2011","Both sexes","11 years","South Dublin","Number","3670"
"Population","2011","Both sexes","11 years","Sligo","Number","838"
"Population","2011","Both sexes","11 years","Tipperary","Number","2241"
"Population","2011","Both sexes","11 years","Waterford City and County","Number","1575"
"Population","2011","Both sexes","11 years","Westmeath","Number","1257"
"Population","2011","Both sexes","11 years","Wicklow","Number","1978"
"Population","2011","Both sexes","11 years","Wexford","Number","2176"
"Population","2011","Both sexes","12 years","State","Number","61234"
"Population","2011","Both sexes","12 years","Cork City and Cork County","Number","6922"
"Population","2011","Both sexes","12 years","Clare","Number","1682"
"Population","2011","Both sexes","12 years","Cavan","Number","1127"
"Population","2011","Both sexes","12 years","Carlow","Number","770"
"Population","2011","Both sexes","12 years","Dublin City","Number","5169"
"Population","2011","Both sexes","12 years","Donegal","Number","2447"
"Population","2011","Both sexes","12 years","Dún Laoghaire-Rathdown","Number","2486"
"Population","2011","Both sexes","12 years","Fingal","Number","3527"
"Population","2011","Both sexes","12 years","Galway City","Number","698"
"Population","2011","Both sexes","12 years","Galway County","Number","2522"
"Population","2011","Both sexes","12 years","Kildare","Number","3118"
