"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2022","Both sexes","30 years","State","Number","63699"
"Population","2022","Both sexes","30 years","Cork City and Cork County","Number","6982"
"Population","2022","Both sexes","30 years","Clare","Number","1209"
"Population","2022","Both sexes","30 years","Cavan","Number","841"
"Population","2022","Both sexes","30 years","Carlow","Number","705"
"Population","2022","Both sexes","30 years","Dublin City","Number","12341"
"Population","2022","Both sexes","30 years","Donegal","Number","1694"
"Population","2022","Both sexes","30 years","Dún Laoghaire-Rathdown","Number","3112"
"Population","2022","Both sexes","30 years","Fingal","Number","3976"
"Population","2022","Both sexes","30 years","Galway City","Number","1402"
"Population","2022","Both sexes","30 years","Galway County","Number","1803"
"Population","2022","Both sexes","30 years","Kildare","Number","2860"
"Population","2022","Both sexes","30 years","Kilkenny","Number","1065"
"Population","2022","Both sexes","30 years","Kerry","Number","1591"
"Population","2022","Both sexes","30 years","Longford","Number","550"
"Population","2022","Both sexes","30 years","Louth","Number","1570"
"Population","2022","Both sexes","30 years","Limerick City and County","Number","2515"
"Population","2022","Both sexes","30 years","Leitrim","Number","336"
"Population","2022","Both sexes","30 years","Laois","Number","987"
"Population","2022","Both sexes","30 years","Meath","Number","2353"
"Population","2022","Both sexes","30 years","Monaghan","Number","732"
"Population","2022","Both sexes","30 years","Mayo","Number","1353"
"Population","2022","Both sexes","30 years","Offaly","Number","940"
"Population","2022","Both sexes","30 years","Roscommon","Number","675"
"Population","2022","Both sexes","30 years","South Dublin","Number","3821"
"Population","2022","Both sexes","30 years","Sligo","Number","668"
"Population","2022","Both sexes","30 years","Tipperary","Number","1744"
"Population","2022","Both sexes","30 years","Waterford City and County","Number","1434"
"Population","2022","Both sexes","30 years","Westmeath","Number","1098"
"Population","2022","Both sexes","30 years","Wicklow","Number","1525"
"Population","2022","Both sexes","30 years","Wexford","Number","1817"
"Population","2022","Both sexes","31 years","State","Number","65947"
"Population","2022","Both sexes","31 years","Cork City and Cork County","Number","7276"
"Population","2022","Both sexes","31 years","Clare","Number","1331"
"Population","2022","Both sexes","31 years","Cavan","Number","907"
"Population","2022","Both sexes","31 years","Carlow","Number","739"
"Population","2022","Both sexes","31 years","Dublin City","Number","12366"
"Population","2022","Both sexes","31 years","Donegal","Number","1723"
"Population","2022","Both sexes","31 years","Dún Laoghaire-Rathdown","Number","3065"
"Population","2022","Both sexes","31 years","Fingal","Number","4241"
"Population","2022","Both sexes","31 years","Galway City","Number","1464"
"Population","2022","Both sexes","31 years","Galway County","Number","1930"
"Population","2022","Both sexes","31 years","Kildare","Number","2990"
"Population","2022","Both sexes","31 years","Kilkenny","Number","1213"
"Population","2022","Both sexes","31 years","Kerry","Number","1585"
"Population","2022","Both sexes","31 years","Longford","Number","484"
"Population","2022","Both sexes","31 years","Louth","Number","1676"
"Population","2022","Both sexes","31 years","Limerick City and County","Number","2522"
"Population","2022","Both sexes","31 years","Leitrim","Number","366"
"Population","2022","Both sexes","31 years","Laois","Number","1021"
"Population","2022","Both sexes","31 years","Meath","Number","2583"
"Population","2022","Both sexes","31 years","Monaghan","Number","738"
"Population","2022","Both sexes","31 years","Mayo","Number","1456"
"Population","2022","Both sexes","31 years","Offaly","Number","925"
"Population","2022","Both sexes","31 years","Roscommon","Number","728"
"Population","2022","Both sexes","31 years","South Dublin","Number","3963"
"Population","2022","Both sexes","31 years","Sligo","Number","695"
"Population","2022","Both sexes","31 years","Tipperary","Number","1775"
"Population","2022","Both sexes","31 years","Waterford City and County","Number","1461"
"Population","2022","Both sexes","31 years","Westmeath","Number","1192"
"Population","2022","Both sexes","31 years","Wicklow","Number","1673"
"Population","2022","Both sexes","31 years","Wexford","Number","1859"
"Population","2022","Both sexes","32 years","State","Number","66795"
"Population","2022","Both sexes","32 years","Cork City and Cork County","Number","7405"
"Population","2022","Both sexes","32 years","Clare","Number","1330"
"Population","2022","Both sexes","32 years","Cavan","Number","996"
"Population","2022","Both sexes","32 years","Carlow","Number","746"
"Population","2022","Both sexes","32 years","Dublin City","Number","12044"
"Population","2022","Both sexes","32 years","Donegal","Number","1863"
"Population","2022","Both sexes","32 years","Dún Laoghaire-Rathdown","Number","3165"
"Population","2022","Both sexes","32 years","Fingal","Number","4328"
"Population","2022","Both sexes","32 years","Galway City","Number","1354"
"Population","2022","Both sexes","32 years","Galway County","Number","1954"
"Population","2022","Both sexes","32 years","Kildare","Number","3013"
"Population","2022","Both sexes","32 years","Kilkenny","Number","1150"
"Population","2022","Both sexes","32 years","Kerry","Number","1697"
"Population","2022","Both sexes","32 years","Longford","Number","538"
"Population","2022","Both sexes","32 years","Louth","Number","1655"
"Population","2022","Both sexes","32 years","Limerick City and County","Number","2672"
"Population","2022","Both sexes","32 years","Leitrim","Number","380"
"Population","2022","Both sexes","32 years","Laois","Number","1089"
"Population","2022","Both sexes","32 years","Meath","Number","2681"
"Population","2022","Both sexes","32 years","Monaghan","Number","713"
"Population","2022","Both sexes","32 years","Mayo","Number","1430"
"Population","2022","Both sexes","32 years","Offaly","Number","923"
"Population","2022","Both sexes","32 years","Roscommon","Number","736"
"Population","2022","Both sexes","32 years","South Dublin","Number","4048"
"Population","2022","Both sexes","32 years","Sligo","Number","742"
"Population","2022","Both sexes","32 years","Tipperary","Number","1814"
"Population","2022","Both sexes","32 years","Waterford City and County","Number","1550"
"Population","2022","Both sexes","32 years","Westmeath","Number","1195"
"Population","2022","Both sexes","32 years","Wicklow","Number","1702"
"Population","2022","Both sexes","32 years","Wexford","Number","1882"
"Population","2022","Both sexes","33 years","State","Number","66377"
"Population","2022","Both sexes","33 years","Cork City and Cork County","Number","7271"
"Population","2022","Both sexes","33 years","Clare","Number","1338"
"Population","2022","Both sexes","33 years","Cavan","Number","955"
"Population","2022","Both sexes","33 years","Carlow","Number","750"
"Population","2022","Both sexes","33 years","Dublin City","Number","11434"
"Population","2022","Both sexes","33 years","Donegal","Number","1829"
"Population","2022","Both sexes","33 years","Dún Laoghaire-Rathdown","Number","3023"
"Population","2022","Both sexes","33 years","Fingal","Number","4596"
"Population","2022","Both sexes","33 years","Galway City","Number","1222"
"Population","2022","Both sexes","33 years","Galway County","Number","2096"
"Population","2022","Both sexes","33 years","Kildare","Number","3187"
"Population","2022","Both sexes","33 years","Kilkenny","Number","1131"
"Population","2022","Both sexes","33 years","Kerry","Number","1674"
"Population","2022","Both sexes","33 years","Longford","Number","549"
"Population","2022","Both sexes","33 years","Louth","Number","1736"
"Population","2022","Both sexes","33 years","Limerick City and County","Number","2623"
"Population","2022","Both sexes","33 years","Leitrim","Number","379"
"Population","2022","Both sexes","33 years","Laois","Number","1121"
"Population","2022","Both sexes","33 years","Meath","Number","2655"
"Population","2022","Both sexes","33 years","Monaghan","Number","701"
"Population","2022","Both sexes","33 years","Mayo","Number","1519"
"Population","2022","Both sexes","33 years","Offaly","Number","934"
"Population","2022","Both sexes","33 years","Roscommon","Number","732"
"Population","2022","Both sexes","33 years","South Dublin","Number","4079"
"Population","2022","Both sexes","33 years","Sligo","Number","753"
"Population","2022","Both sexes","33 years","Tipperary","Number","1829"
"Population","2022","Both sexes","33 years","Waterford City and County","Number","1462"
"Population","2022","Both sexes","33 years","Westmeath","Number","1189"
"Population","2022","Both sexes","33 years","Wicklow","Number","1780"
"Population","2022","Both sexes","33 years","Wexford","Number","1830"
"Population","2022","Both sexes","34 years","State","Number","69405"
"Population","2022","Both sexes","34 years","Cork City and Cork County","Number","7664"
"Population","2022","Both sexes","34 years","Clare","Number","1455"
"Population","2022","Both sexes","34 years","Cavan","Number","988"
"Population","2022","Both sexes","34 years","Carlow","Number","774"
"Population","2022","Both sexes","34 years","Dublin City","Number","11048"
"Population","2022","Both sexes","34 years","Donegal","Number","2023"
"Population","2022","Both sexes","34 years","Dún Laoghaire-Rathdown","Number","3044"
"Population","2022","Both sexes","34 years","Fingal","Number","4787"
"Population","2022","Both sexes","34 years","Galway City","Number","1332"
"Population","2022","Both sexes","34 years","Galway County","Number","2233"
"Population","2022","Both sexes","34 years","Kildare","Number","3343"
"Population","2022","Both sexes","34 years","Kilkenny","Number","1230"
"Population","2022","Both sexes","34 years","Kerry","Number","1724"
"Population","2022","Both sexes","34 years","Longford","Number","628"
"Population","2022","Both sexes","34 years","Louth","Number","1831"
"Population","2022","Both sexes","34 years","Limerick City and County","Number","2738"
"Population","2022","Both sexes","34 years","Leitrim","Number","409"
"Population","2022","Both sexes","34 years","Laois","Number","1179"
"Population","2022","Both sexes","34 years","Meath","Number","2906"
"Population","2022","Both sexes","34 years","Monaghan","Number","839"
"Population","2022","Both sexes","34 years","Mayo","Number","1634"
"Population","2022","Both sexes","34 years","Offaly","Number","1035"
"Population","2022","Both sexes","34 years","Roscommon","Number","782"
"Population","2022","Both sexes","34 years","South Dublin","Number","4370"
"Population","2022","Both sexes","34 years","Sligo","Number","786"
"Population","2022","Both sexes","34 years","Tipperary","Number","1963"
"Population","2022","Both sexes","34 years","Waterford City and County","Number","1557"
"Population","2022","Both sexes","34 years","Westmeath","Number","1238"
"Population","2022","Both sexes","34 years","Wicklow","Number","1846"
"Population","2022","Both sexes","34 years","Wexford","Number","2019"
"Population","2022","Both sexes","35 years","State","Number","72635"
"Population","2022","Both sexes","35 years","Cork City and Cork County","Number","8078"
"Population","2022","Both sexes","35 years","Clare","Number","1516"
"Population","2022","Both sexes","35 years","Cavan","Number","1079"
"Population","2022","Both sexes","35 years","Carlow","Number","833"
"Population","2022","Both sexes","35 years","Dublin City","Number","10932"
"Population","2022","Both sexes","35 years","Donegal","Number","2016"
"Population","2022","Both sexes","35 years","Dún Laoghaire-Rathdown","Number","3054"
"Population","2022","Both sexes","35 years","Fingal","Number","5012"
"Population","2022","Both sexes","35 years","Galway City","Number","1277"
"Population","2022","Both sexes","35 years","Galway County","Number","2431"
"Population","2022","Both sexes","35 years","Kildare","Number","3586"
"Population","2022","Both sexes","35 years","Kilkenny","Number","1375"
"Population","2022","Both sexes","35 years","Kerry","Number","1862"
"Population","2022","Both sexes","35 years","Longford","Number","613"
"Population","2022","Both sexes","35 years","Louth","Number","1912"
"Population","2022","Both sexes","35 years","Limerick City and County","Number","2872"
"Population","2022","Both sexes","35 years","Leitrim","Number","443"
"Population","2022","Both sexes","35 years","Laois","Number","1353"
"Population","2022","Both sexes","35 years","Meath","Number","3156"
"Population","2022","Both sexes","35 years","Monaghan","Number","850"
"Population","2022","Both sexes","35 years","Mayo","Number","1692"
"Population","2022","Both sexes","35 years","Offaly","Number","1074"
"Population","2022","Both sexes","35 years","Roscommon","Number","896"
"Population","2022","Both sexes","35 years","South Dublin","Number","4463"
"Population","2022","Both sexes","35 years","Sligo","Number","840"
"Population","2022","Both sexes","35 years","Tipperary","Number","2157"
"Population","2022","Both sexes","35 years","Waterford City and County","Number","1745"
"Population","2022","Both sexes","35 years","Westmeath","Number","1397"
"Population","2022","Both sexes","35 years","Wicklow","Number","1983"
"Population","2022","Both sexes","35 years","Wexford","Number","2138"
"Population","2022","Both sexes","36 years","State","Number","74858"
"Population","2022","Both sexes","36 years","Cork City and Cork County","Number","8243"
"Population","2022","Both sexes","36 years","Clare","Number","1593"
"Population","2022","Both sexes","36 years","Cavan","Number","1151"
"Population","2022","Both sexes","36 years","Carlow","Number","835"
"Population","2022","Both sexes","36 years","Dublin City","Number","10619"
"Population","2022","Both sexes","36 years","Donegal","Number","2112"
"Population","2022","Both sexes","36 years","Dún Laoghaire-Rathdown","Number","3188"
"Population","2022","Both sexes","36 years","Fingal","Number","5327"
"Population","2022","Both sexes","36 years","Galway City","Number","1332"
"Population","2022","Both sexes","36 years","Galway County","Number","2494"
"Population","2022","Both sexes","36 years","Kildare","Number","3748"
"Population","2022","Both sexes","36 years","Kilkenny","Number","1342"
"Population","2022","Both sexes","36 years","Kerry","Number","2024"
"Population","2022","Both sexes","36 years","Longford","Number","678"
"Population","2022","Both sexes","36 years","Louth","Number","1980"
"Population","2022","Both sexes","36 years","Limerick City and County","Number","3012"
"Population","2022","Both sexes","36 years","Leitrim","Number","451"
"Population","2022","Both sexes","36 years","Laois","Number","1384"
"Population","2022","Both sexes","36 years","Meath","Number","3249"
"Population","2022","Both sexes","36 years","Monaghan","Number","894"
"Population","2022","Both sexes","36 years","Mayo","Number","1780"
"Population","2022","Both sexes","36 years","Offaly","Number","1102"
"Population","2022","Both sexes","36 years","Roscommon","Number","924"
"Population","2022","Both sexes","36 years","South Dublin","Number","4843"
"Population","2022","Both sexes","36 years","Sligo","Number","935"
"Population","2022","Both sexes","36 years","Tipperary","Number","2146"
"Population","2022","Both sexes","36 years","Waterford City and County","Number","1737"
"Population","2022","Both sexes","36 years","Westmeath","Number","1502"
"Population","2022","Both sexes","36 years","Wicklow","Number","2102"
"Population","2022","Both sexes","36 years","Wexford","Number","2131"
"Population","2022","Both sexes","37 years","State","Number","75620"
"Population","2022","Both sexes","37 years","Cork City and Cork County","Number","8597"
"Population","2022","Both sexes","37 years","Clare","Number","1711"
"Population","2022","Both sexes","37 years","Cavan","Number","1182"
"Population","2022","Both sexes","37 years","Carlow","Number","908"
"Population","2022","Both sexes","37 years","Dublin City","Number","10110"
"Population","2022","Both sexes","37 years","Donegal","Number","2106"
"Population","2022","Both sexes","37 years","Dún Laoghaire-Rathdown","Number","3237"
"Population","2022","Both sexes","37 years","Fingal","Number","5336"
"Population","2022","Both sexes","37 years","Galway City","Number","1307"
"Population","2022","Both sexes","37 years","Galway County","Number","2597"
"Population","2022","Both sexes","37 years","Kildare","Number","3846"
"Population","2022","Both sexes","37 years","Kilkenny","Number","1365"
"Population","2022","Both sexes","37 years","Kerry","Number","2070"
"Population","2022","Both sexes","37 years","Longford","Number","620"
"Population","2022","Both sexes","37 years","Louth","Number","1922"
"Population","2022","Both sexes","37 years","Limerick City and County","Number","3023"
"Population","2022","Both sexes","37 years","Leitrim","Number","445"
"Population","2022","Both sexes","37 years","Laois","Number","1441"
"Population","2022","Both sexes","37 years","Meath","Number","3332"
"Population","2022","Both sexes","37 years","Monaghan","Number","924"
"Population","2022","Both sexes","37 years","Mayo","Number","1872"
"Population","2022","Both sexes","37 years","Offaly","Number","1161"
"Population","2022","Both sexes","37 years","Roscommon","Number","949"
"Population","2022","Both sexes","37 years","South Dublin","Number","4868"
"Population","2022","Both sexes","37 years","Sligo","Number","938"
"Population","2022","Both sexes","37 years","Tipperary","Number","2159"
"Population","2022","Both sexes","37 years","Waterford City and County","Number","1712"
"Population","2022","Both sexes","37 years","Westmeath","Number","1438"
"Population","2022","Both sexes","37 years","Wicklow","Number","2267"
"Population","2022","Both sexes","37 years","Wexford","Number","2177"
"Population","2022","Both sexes","38 years","State","Number","78415"
"Population","2022","Both sexes","38 years","Cork City and Cork County","Number","8649"
"Population","2022","Both sexes","38 years","Clare","Number","1818"
"Population","2022","Both sexes","38 years","Cavan","Number","1267"
"Population","2022","Both sexes","38 years","Carlow","Number","948"
"Population","2022","Both sexes","38 years","Dublin City","Number","10136"
"Population","2022","Both sexes","38 years","Donegal","Number","2155"
"Population","2022","Both sexes","38 years","Dún Laoghaire-Rathdown","Number","3445"
"Population","2022","Both sexes","38 years","Fingal","Number","5608"
"Population","2022","Both sexes","38 years","Galway City","Number","1331"
"Population","2022","Both sexes","38 years","Galway County","Number","2751"
"Population","2022","Both sexes","38 years","Kildare","Number","4003"
"Population","2022","Both sexes","38 years","Kilkenny","Number","1486"
"Population","2022","Both sexes","38 years","Kerry","Number","2253"
"Population","2022","Both sexes","38 years","Longford","Number","711"
"Population","2022","Both sexes","38 years","Louth","Number","2091"
"Population","2022","Both sexes","38 years","Limerick City and County","Number","3115"
"Population","2022","Both sexes","38 years","Leitrim","Number","483"
"Population","2022","Both sexes","38 years","Laois","Number","1538"
"Population","2022","Both sexes","38 years","Meath","Number","3457"
"Population","2022","Both sexes","38 years","Monaghan","Number","956"
"Population","2022","Both sexes","38 years","Mayo","Number","1855"
"Population","2022","Both sexes","38 years","Offaly","Number","1175"
"Population","2022","Both sexes","38 years","Roscommon","Number","1005"
"Population","2022","Both sexes","38 years","South Dublin","Number","4929"
"Population","2022","Both sexes","38 years","Sligo","Number","1016"
"Population","2022","Both sexes","38 years","Tipperary","Number","2318"
"Population","2022","Both sexes","38 years","Waterford City and County","Number","1805"
"Population","2022","Both sexes","38 years","Westmeath","Number","1451"
"Population","2022","Both sexes","38 years","Wicklow","Number","2354"
"Population","2022","Both sexes","38 years","Wexford","Number","2306"
"Population","2022","Both sexes","39 years","State","Number","81341"
"Population","2022","Both sexes","39 years","Cork City and Cork County","Number","9217"
"Population","2022","Both sexes","39 years","Clare","Number","1774"
"Population","2022","Both sexes","39 years","Cavan","Number","1297"
"Population","2022","Both sexes","39 years","Carlow","Number","1006"
"Population","2022","Both sexes","39 years","Dublin City","Number","9898"
"Population","2022","Both sexes","39 years","Donegal","Number","2358"
"Population","2022","Both sexes","39 years","Dún Laoghaire-Rathdown","Number","3545"
"Population","2022","Both sexes","39 years","Fingal","Number","5927"
"Population","2022","Both sexes","39 years","Galway City","Number","1391"
"Population","2022","Both sexes","39 years","Galway County","Number","2941"
"Population","2022","Both sexes","39 years","Kildare","Number","4331"
"Population","2022","Both sexes","39 years","Kilkenny","Number","1588"
"Population","2022","Both sexes","39 years","Kerry","Number","2251"
"Population","2022","Both sexes","39 years","Longford","Number","725"
"Population","2022","Both sexes","39 years","Louth","Number","2093"
"Population","2022","Both sexes","39 years","Limerick City and County","Number","3230"
"Population","2022","Both sexes","39 years","Leitrim","Number","495"
"Population","2022","Both sexes","39 years","Laois","Number","1601"
"Population","2022","Both sexes","39 years","Meath","Number","3610"
"Population","2022","Both sexes","39 years","Monaghan","Number","1043"
"Population","2022","Both sexes","39 years","Mayo","Number","1992"
"Population","2022","Both sexes","39 years","Offaly","Number","1249"
"Population","2022","Both sexes","39 years","Roscommon","Number","979"
"Population","2022","Both sexes","39 years","South Dublin","Number","5217"
"Population","2022","Both sexes","39 years","Sligo","Number","1023"
"Population","2022","Both sexes","39 years","Tipperary","Number","2436"
"Population","2022","Both sexes","39 years","Waterford City and County","Number","1828"
"Population","2022","Both sexes","39 years","Westmeath","Number","1515"
"Population","2022","Both sexes","39 years","Wicklow","Number","2473"
"Population","2022","Both sexes","39 years","Wexford","Number","2308"
"Population","2022","Both sexes","40 years","State","Number","83444"
"Population","2022","Both sexes","40 years","Cork City and Cork County","Number","9431"
"Population","2022","Both sexes","40 years","Clare","Number","1906"
"Population","2022","Both sexes","40 years","Cavan","Number","1263"
"Population","2022","Both sexes","40 years","Carlow","Number","981"
"Population","2022","Both sexes","40 years","Dublin City","Number","9770"
"Population","2022","Both sexes","40 years","Donegal","Number","2442"
"Population","2022","Both sexes","40 years","Dún Laoghaire-Rathdown","Number","3646"
"Population","2022","Both sexes","40 years","Fingal","Number","6104"
"Population","2022","Both sexes","40 years","Galway City","Number","1394"
"Population","2022","Both sexes","40 years","Galway County","Number","3095"
"Population","2022","Both sexes","40 years","Kildare","Number","4366"
"Population","2022","Both sexes","40 years","Kilkenny","Number","1586"
"Population","2022","Both sexes","40 years","Kerry","Number","2351"
"Population","2022","Both sexes","40 years","Longford","Number","805"
"Population","2022","Both sexes","40 years","Louth","Number","2289"
"Population","2022","Both sexes","40 years","Limerick City and County","Number","3294"
"Population","2022","Both sexes","40 years","Leitrim","Number","516"
"Population","2022","Both sexes","40 years","Laois","Number","1561"
"Population","2022","Both sexes","40 years","Meath","Number","3714"
"Population","2022","Both sexes","40 years","Monaghan","Number","995"
"Population","2022","Both sexes","40 years","Mayo","Number","2069"
"Population","2022","Both sexes","40 years","Offaly","Number","1397"
"Population","2022","Both sexes","40 years","Roscommon","Number","1045"
"Population","2022","Both sexes","40 years","South Dublin","Number","5397"
"Population","2022","Both sexes","40 years","Sligo","Number","1029"
"Population","2022","Both sexes","40 years","Tipperary","Number","2523"
"Population","2022","Both sexes","40 years","Waterford City and County","Number","1876"
"Population","2022","Both sexes","40 years","Westmeath","Number","1504"
"Population","2022","Both sexes","40 years","Wicklow","Number","2576"
"Population","2022","Both sexes","40 years","Wexford","Number","2519"
"Population","2022","Both sexes","41 years","State","Number","85097"
"Population","2022","Both sexes","41 years","Cork City and Cork County","Number","9552"
"Population","2022","Both sexes","41 years","Clare","Number","1983"
"Population","2022","Both sexes","41 years","Cavan","Number","1332"
"Population","2022","Both sexes","41 years","Carlow","Number","1024"
"Population","2022","Both sexes","41 years","Dublin City","Number","9839"
"Population","2022","Both sexes","41 years","Donegal","Number","2487"
"Population","2022","Both sexes","41 years","Dún Laoghaire-Rathdown","Number","3739"
"Population","2022","Both sexes","41 years","Fingal","Number","6243"
"Population","2022","Both sexes","41 years","Galway City","Number","1379"
"Population","2022","Both sexes","41 years","Galway County","Number","3183"
"Population","2022","Both sexes","41 years","Kildare","Number","4450"
"Population","2022","Both sexes","41 years","Kilkenny","Number","1670"
"Population","2022","Both sexes","41 years","Kerry","Number","2393"
"Population","2022","Both sexes","41 years","Longford","Number","777"
"Population","2022","Both sexes","41 years","Louth","Number","2310"
"Population","2022","Both sexes","41 years","Limerick City and County","Number","3345"
"Population","2022","Both sexes","41 years","Leitrim","Number","540"
"Population","2022","Both sexes","41 years","Laois","Number","1629"
"Population","2022","Both sexes","41 years","Meath","Number","3818"
"Population","2022","Both sexes","41 years","Monaghan","Number","1072"
"Population","2022","Both sexes","41 years","Mayo","Number","2069"
"Population","2022","Both sexes","41 years","Offaly","Number","1318"
"Population","2022","Both sexes","41 years","Roscommon","Number","1100"
"Population","2022","Both sexes","41 years","South Dublin","Number","5402"
"Population","2022","Both sexes","41 years","Sligo","Number","1055"
"Population","2022","Both sexes","41 years","Tipperary","Number","2580"
"Population","2022","Both sexes","41 years","Waterford City and County","Number","1999"
"Population","2022","Both sexes","41 years","Westmeath","Number","1561"
"Population","2022","Both sexes","41 years","Wicklow","Number","2635"
"Population","2022","Both sexes","41 years","Wexford","Number","2613"
"Population","2022","Both sexes","42 years","State","Number","84981"
"Population","2022","Both sexes","42 years","Cork City and Cork County","Number","9551"
"Population","2022","Both sexes","42 years","Clare","Number","2029"
"Population","2022","Both sexes","42 years","Cavan","Number","1280"
"Population","2022","Both sexes","42 years","Carlow","Number","1045"
"Population","2022","Both sexes","42 years","Dublin City","Number","9325"
"Population","2022","Both sexes","42 years","Donegal","Number","2512"
"Population","2022","Both sexes","42 years","Dún Laoghaire-Rathdown","Number","3690"
"Population","2022","Both sexes","42 years","Fingal","Number","6350"
"Population","2022","Both sexes","42 years","Galway City","Number","1415"
"Population","2022","Both sexes","42 years","Galway County","Number","3155"
"Population","2022","Both sexes","42 years","Kildare","Number","4410"
"Population","2022","Both sexes","42 years","Kilkenny","Number","1615"
"Population","2022","Both sexes","42 years","Kerry","Number","2507"
"Population","2022","Both sexes","42 years","Longford","Number","822"
"Population","2022","Both sexes","42 years","Louth","Number","2322"
"Population","2022","Both sexes","42 years","Limerick City and County","Number","3288"
"Population","2022","Both sexes","42 years","Leitrim","Number","538"
"Population","2022","Both sexes","42 years","Laois","Number","1635"
"Population","2022","Both sexes","42 years","Meath","Number","3899"
"Population","2022","Both sexes","42 years","Monaghan","Number","976"
"Population","2022","Both sexes","42 years","Mayo","Number","2021"
"Population","2022","Both sexes","42 years","Offaly","Number","1333"
"Population","2022","Both sexes","42 years","Roscommon","Number","1079"
"Population","2022","Both sexes","42 years","South Dublin","Number","5428"
"Population","2022","Both sexes","42 years","Sligo","Number","1089"
"Population","2022","Both sexes","42 years","Tipperary","Number","2581"
"Population","2022","Both sexes","42 years","Waterford City and County","Number","2094"
"Population","2022","Both sexes","42 years","Westmeath","Number","1539"
"Population","2022","Both sexes","42 years","Wicklow","Number","2744"
"Population","2022","Both sexes","42 years","Wexford","Number","2709"
"Population","2022","Both sexes","43 years","State","Number","80683"
"Population","2022","Both sexes","43 years","Cork City and Cork County","Number","9196"
"Population","2022","Both sexes","43 years","Clare","Number","1881"
"Population","2022","Both sexes","43 years","Cavan","Number","1243"
"Population","2022","Both sexes","43 years","Carlow","Number","950"
"Population","2022","Both sexes","43 years","Dublin City","Number","8851"
"Population","2022","Both sexes","43 years","Donegal","Number","2427"
"Population","2022","Both sexes","43 years","Dún Laoghaire-Rathdown","Number","3477"
"Population","2022","Both sexes","43 years","Fingal","Number","6013"
"Population","2022","Both sexes","43 years","Galway City","Number","1266"
"Population","2022","Both sexes","43 years","Galway County","Number","3028"
"Population","2022","Both sexes","43 years","Kildare","Number","4235"
"Population","2022","Both sexes","43 years","Kilkenny","Number","1612"
"Population","2022","Both sexes","43 years","Kerry","Number","2387"
"Population","2022","Both sexes","43 years","Longford","Number","744"
"Population","2022","Both sexes","43 years","Louth","Number","2096"
"Population","2022","Both sexes","43 years","Limerick City and County","Number","3152"
"Population","2022","Both sexes","43 years","Leitrim","Number","526"
"Population","2022","Both sexes","43 years","Laois","Number","1460"
"Population","2022","Both sexes","43 years","Meath","Number","3773"
"Population","2022","Both sexes","43 years","Monaghan","Number","985"
"Population","2022","Both sexes","43 years","Mayo","Number","1919"
"Population","2022","Both sexes","43 years","Offaly","Number","1236"
"Population","2022","Both sexes","43 years","Roscommon","Number","1007"
"Population","2022","Both sexes","43 years","South Dublin","Number","5275"
"Population","2022","Both sexes","43 years","Sligo","Number","1039"
"Population","2022","Both sexes","43 years","Tipperary","Number","2485"
"Population","2022","Both sexes","43 years","Waterford City and County","Number","1983"
"Population","2022","Both sexes","43 years","Westmeath","Number","1462"
"Population","2022","Both sexes","43 years","Wicklow","Number","2530"
"Population","2022","Both sexes","43 years","Wexford","Number","2445"
"Population","2022","Both sexes","44 years","State","Number","77319"
"Population","2022","Both sexes","44 years","Cork City and Cork County","Number","8770"
"Population","2022","Both sexes","44 years","Clare","Number","1871"
"Population","2022","Both sexes","44 years","Cavan","Number","1216"
"Population","2022","Both sexes","44 years","Carlow","Number","907"
"Population","2022","Both sexes","44 years","Dublin City","Number","8370"
"Population","2022","Both sexes","44 years","Donegal","Number","2426"
"Population","2022","Both sexes","44 years","Dún Laoghaire-Rathdown","Number","3246"
"Population","2022","Both sexes","44 years","Fingal","Number","5683"
"Population","2022","Both sexes","44 years","Galway City","Number","1213"
"Population","2022","Both sexes","44 years","Galway County","Number","3027"
"Population","2022","Both sexes","44 years","Kildare","Number","3988"
"Population","2022","Both sexes","44 years","Kilkenny","Number","1597"
"Population","2022","Both sexes","44 years","Kerry","Number","2349"
"Population","2022","Both sexes","44 years","Longford","Number","674"
"Population","2022","Both sexes","44 years","Louth","Number","2109"
"Population","2022","Both sexes","44 years","Limerick City and County","Number","3054"
"Population","2022","Both sexes","44 years","Leitrim","Number","518"
"Population","2022","Both sexes","44 years","Laois","Number","1467"
"Population","2022","Both sexes","44 years","Meath","Number","3614"
"Population","2022","Both sexes","44 years","Monaghan","Number","938"
"Population","2022","Both sexes","44 years","Mayo","Number","1911"
"Population","2022","Both sexes","44 years","Offaly","Number","1240"
"Population","2022","Both sexes","44 years","Roscommon","Number","981"
"Population","2022","Both sexes","44 years","South Dublin","Number","4623"
"Population","2022","Both sexes","44 years","Sligo","Number","981"
"Population","2022","Both sexes","44 years","Tipperary","Number","2382"
"Population","2022","Both sexes","44 years","Waterford City and County","Number","1940"
"Population","2022","Both sexes","44 years","Westmeath","Number","1394"
"Population","2022","Both sexes","44 years","Wicklow","Number","2515"
"Population","2022","Both sexes","44 years","Wexford","Number","2315"
"Population","2022","Both sexes","45 years","State","Number","76216"
"Population","2022","Both sexes","45 years","Cork City and Cork County","Number","8797"
"Population","2022","Both sexes","45 years","Clare","Number","1876"
"Population","2022","Both sexes","45 years","Cavan","Number","1125"
"Population","2022","Both sexes","45 years","Carlow","Number","945"
"Population","2022","Both sexes","45 years","Dublin City","Number","7914"
